rule_id,dimension,stratum,n_stratum,n_rule_group,n_comparison_group,severe_rate_rule,severe_rate_comparison,observed_rate_difference,model_risk_rule,model_risk_comparison,model_risk_difference,eligible_main_stratum
R03,Source,Source3,373,14,359,0.42857142857142855,0.3342618384401114,0.09430959013131712,0.18397467670873008,0.15270901602910394,0.031265660679626134,False
R03,State,CA,11965,637,11328,0.24960753532182103,0.1572210451977401,0.09238649012408093,0.20126044013480054,0.17038428562944827,0.030876154505352277,True
R03,State,TX,4035,118,3917,0.3474576271186441,0.21649221342864436,0.13096541368999973,0.19387335384464868,0.18869743191524732,0.005175921929401361,True
R03,Accident_Year,2016,1328,54,1274,0.5,0.3414442700156986,0.1585557299843014,0.34892731797230714,0.2930402203833829,0.05588709758892424,False
R03,Accident_Year,2017,1659,62,1597,0.6290322580645161,0.3512836568566061,0.27774860120791,0.3096944364108259,0.27768330168940647,0.03201113472141942,False
R03,Accident_Year,2018,1621,58,1563,0.603448275862069,0.3506078055022393,0.25284047035982965,0.35792326974727523,0.2812364526667193,0.07668681708055591,False
R03,Accident_Year,2019,1954,114,1840,0.38596491228070173,0.20815217391304347,0.17781273836765826,0.18417209323277947,0.16985558182160163,0.014316511411177846,False
R03,Accident_Year,2020,2447,143,2304,0.16783216783216784,0.12586805555555555,0.041964112276612286,0.14890022425407176,0.12584836617803355,0.023051858076038212,False
R03,Accident_Year,2021,2784,163,2621,0.11042944785276074,0.09423884013735216,0.016190607715408575,0.15583078854903812,0.1322277363192202,0.023603052229817928,False
R03,Accident_Year,2022,2380,151,2229,0.08609271523178808,0.06864064602960969,0.017452069202178386,0.15307527897081652,0.13529470754357925,0.01778057142723727,False
R03,Accident_Year,2023,433,10,423,0.0,0.002364066193853428,-0.002364066193853428,0.14741398912631234,0.11980017576317638,0.027613813363135967,False
R04,Source,Source1,9146,259,8887,0.10038610038610038,0.043096658039833466,0.057289442346266914,0.21704186433667483,0.13873412688874115,0.07830773744793368,True
R04,Source,Source2,6481,520,5961,0.3211538461538462,0.3568193256165073,-0.03566547946266113,0.23307557202059043,0.2269047938834812,0.0061707781371092285,True
R04,Source,Source3,373,19,354,0.21052631578947367,0.3446327683615819,-0.13410645257210824,0.16168394847677878,0.15346380567037216,0.008220142806406622,False
R04,State,CA,11965,389,11576,0.2647814910025707,0.15869039391845197,0.10609109708411874,0.24039564401068947,0.16973066538148757,0.0706649786292019,True
R04,State,TX,4035,409,3626,0.22982885085574573,0.21924986210700498,0.010578988748740747,0.21264359367923324,0.18616482811662607,0.02647876556260717,True
R04,Accident_Year,2016,1328,89,1239,0.29213483146067415,0.35189669087974174,-0.05976185941906759,0.3003683929143022,0.2949495794750295,0.005418813439272696,False
R04,Accident_Year,2017,1659,161,1498,0.36024844720496896,0.36181575433911883,-0.0015673071341498757,0.2807478940143416,0.27867882304348757,0.0020690709708540145,False
R04,Accident_Year,2018,1621,119,1502,0.3277310924369748,0.3621837549933422,-0.03445266255636742,0.28798798809453124,0.28366281929439086,0.004325168800140389,False
